country,confirmed,death,recovered,active,population
Afghanistan,41633,1541,34342,5750,38041754
Albania,21523,527,11367,9629,2854191
Algeria,58574,1980,40577,16017,43053054
Andorra,4888,75,3548,1265,77142
Angola,11228,289,5172,5767,31825295
Antigua and Barbuda,128,3,117,8,97118
Argentina,1183131,31623,998016,153492,44938712
Armenia,93448,1391,56466,35591,2957731
Australia,27610,907,25384,1319,25364307
Austria,114016,1159,71691,41166,8877067
Azerbaijan,57040,753,44479,11808,10023318
Bahamas,6735,146,4493,2096,389482
Bahrain,82133,322,79318,2493,1641172
Bangladesh,410988,5966,327901,77121,163046161
Barbados,238,7,222,9,287025
Belarus,100400,989,87400,12011,9466856
Belgium,447355,11858,25999,409498,11484055
Belize,3624,59,2230,1335,390353
Benin,2683,41,2455,187,11801151
Bhutan,356,0,326,30,763092
Bolivia,141867,8741,112055,21071,11513100
Bosnia and Herzegovina,52269,1280,28567,22422,3301000
Botswana,6642,24,4676,1942,2303697
Brazil,5554206,160253,5039438,354515,211049527
Brunei,148,3,143,2,433285
Bulgaria,56496,1349,21037,34110,6975761
Burkina Faso,2517,67,2281,169,20321378
Burma,54607,1282,37954,15371,54045420
Burundi,589,1,511,77,11530580
Cabo Verde,8882,95,8110,677,549935
Cambodia,292,0,283,9,16486542
Cameroon,22103,429,21151,523,25876380
Canada,243178,10262,203128,NA,37589262
Central African Republic,4866,62,1924,2880,4745185
Chad,1499,98,1329,72,15946876
Chile,513140,14302,489525,NA,18952038
China,91452,4739,86189,524,1397715000
Colombia,1093256,31653,985796,75790,50339443
Comoros,545,7,498,40,850886
Costa Rica,111257,1404,68129,41724,5047561
Cote d'Ivoire,20753,126,20410,217,25716544
Croatia,52660,594,37332,14734,4067500
Cuba,6970,129,6318,523,11333483
Cyprus,4760,27,1882,2851,1198575
Czechia,350896,3654,170608,176634,10669709
Denmark,48753,724,35917,12112,5818553
Djibouti,5573,61,5460,52,973560
Dominica,50,0,33,17,71808
Dominican Republic,127591,2250,105634,19707,10738958
Ecuador,169562,12692,149048,7822,17373662
Egypt,107925,6291,99652,1982,100388073
El Salvador,34015,983,29788,3244,6453553
Equatorial Guinea,5089,83,4965,41,1355986
Estonia,5046,73,3832,1141,1326590
Eswatini,5929,117,5657,155,1148130
Ethiopia,96942,1489,54405,41048,112078730
Fiji,34,2,31,1,889953
